"ID","TIME","AMT","ADDL","II","DV","MDV","CMT","DOSE","IVPO","SEX","GROUP","DAY","TAD","FOOD","STUDY","ORIID"
2502,650,,,,"3200",0,2,50,2,0,1,28,2,2,2,"2502"
2502,652,,,,"2340",0,2,50,2,0,1,28,4,2,2,"2502"
2502,656,,,,"515",0,2,50,2,0,1,28,8,2,2,"2502"
2502,672,,,,".",1,2,50,2,0,1,28,24,2,2,"2502"
2503,0,50,27,24,".",1,1,50,2,0,1,1,0,2,2,"2503"
2503,0,,,,"0",0,2,50,2,0,1,1,0,2,2,"2503"
2503,0.5,,,,"13500",0,2,50,2,0,1,1,0.5,2,2,"2503"
2503,1,,,,"15000",0,2,50,2,0,1,1,1,2,2,"2503"
2503,2,,,,"5890",0,2,50,2,0,1,1,2,2,2,"2503"
2503,4,,,,"2200",0,2,50,2,0,1,1,4,2,2,"2503"
2503,8,,,,"846",0,2,50,2,0,1,1,8,2,2,"2503"
2503,24,,,,"17.4",0,2,50,2,0,1,1,24,2,2,"2503"
2503,648,,,,"0",0,2,50,2,0,1,28,0,2,2,"2503"
2503,648.5,,,,"15000",0,2,50,2,0,1,28,0.5,2,2,"2503"
2503,649,,,,"10400",0,2,50,2,0,1,28,1,2,2,"2503"
2503,650,,,,"9920",0,2,50,2,0,1,28,2,2,2,"2503"
2503,652,,,,"3760",0,2,50,2,0,1,28,4,2,2,"2503"
2503,656,,,,"1460",0,2,50,2,0,1,28,8,2,2,"2503"
2503,672,,,,"20.8",0,2,50,2,0,1,28,24,2,2,"2503"
3001,0,100,27,24,".",1,1,100,2,1,2,1,0,2,2,"3001"
3001,0,,,,"0",0,2,100,2,1,2,1,0,2,2,"3001"
3001,0.5,,,,"9280",0,2,100,2,1,2,1,0.5,2,2,"3001"
3001,1,,,,"9280",0,2,100,2,1,2,1,1,2,2,"3001"
3001,2,,,,"4630",0,2,100,2,1,2,1,2,2,2,"3001"
3001,4,,,,"2940",0,2,100,2,1,2,1,4,2,2,"3001"
3001,8,,,,"358",0,2,100,2,1,2,1,8,2,2,"3001"
3001,24,,,,".",1,2,100,2,1,2,1,24,2,2,"3001"
3001,648,,,,"16",0,2,100,2,1,2,28,0,2,2,"3001"
3001,648.5,,,,"7000",0,2,100,2,1,2,28,0.5,2,2,"3001"
3001,649,,,,"2750",0,2,100,2,1,2,28,1,2,2,"3001"
3001,650,,,,"1940",0,2,100,2,1,2,28,2,2,2,"3001"
3001,652,,,,"1150",0,2,100,2,1,2,28,4,2,2,"3001"
3001,656,,,,"221",0,2,100,2,1,2,28,8,2,2,"3001"
3001,672,,,,"19.3",0,2,100,2,1,2,28,24,2,2,"3001"
3002,0,100,27,24,".",1,1,100,2,1,2,1,0,2,2,"3002"
3002,0,,,,"0",0,2,100,2,1,2,1,0,2,2,"3002"
3002,0.5,,,,"12100",0,2,100,2,1,2,1,0.5,2,2,"3002"
3002,1,,,,"13500",0,2,100,2,1,2,1,1,2,2,"3002"
3002,2,,,,"5970",0,2,100,2,1,2,1,2,2,2,"3002"
3002,4,,,,"5030",0,2,100,2,1,2,1,4,2,2,"3002"
3002,8,,,,"941",0,2,100,2,1,2,1,8,2,2,"3002"
3002,24,,,,".",1,2,100,2,1,2,1,24,2,2,"3002"
3002,648,,,,"15.6",0,2,100,2,1,2,28,0,2,2,"3002"
3002,648.5,,,,"11200",0,2,100,2,1,2,28,0.5,2,2,"3002"
3002,649,,,,"19600",0,2,100,2,1,2,28,1,2,2,"3002"
3002,650,,,,"8520",0,2,100,2,1,2,28,2,2,2,"3002"
3002,652,,,,"5990",0,2,100,2,1,2,28,4,2,2,"3002"
3002,656,,,,"1240",0,2,100,2,1,2,28,8,2,2,"3002"
3002,672,,,,"15.8",0,2,100,2,1,2,28,24,2,2,"3002"
3003,0,100,27,24,".",1,1,100,2,1,2,1,0,2,2,"3003"
3003,0,,,,"0",0,2,100,2,1,2,1,0,2,2,"3003"
3003,0.5,,,,"2430",0,2,100,2,1,2,1,0.5,2,2,"3003"
3003,1,,,,"970",0,2,100,2,1,2,1,1,2,2,"3003"
3003,2,,,,"255",0,2,100,2,1,2,1,2,2,2,"3003"
3003,4,,,,"112",0,2,100,2,1,2,1,4,2,2,"3003"
3003,8,,,,"379",0,2,100,2,1,2,1,8,2,2,"3003"
3003,24,,,,"67.8",0,2,100,2,1,2,1,24,2,2,"3003"
3003,648,,,,"30",0,2,100,2,1,2,28,0,2,2,"3003"
3003,648.5,,,,"12300",0,2,100,2,1,2,28,0.5,2,2,"3003"
3003,649,,,,"14600",0,2,100,2,1,2,28,1,2,2,"3003"
3003,650,,,,"8490",0,2,100,2,1,2,28,2,2,2,"3003"
3003,652,,,,"2630",0,2,100,2,1,2,28,4,2,2,"3003"
3003,656,,,,"538",0,2,100,2,1,2,28,8,2,2,"3003"
3003,672,,,,"42.3",0,2,100,2,1,2,28,24,2,2,"3003"
3004,0,100,27,24,".",1,1,100,2,1,2,1,0,2,2,"3004"
3004,0,,,,"0",0,2,100,2,1,2,1,0,2,2,"3004"
3004,0.5,,,,"21500",0,2,100,2,1,2,1,0.5,2,2,"3004"
3004,1,,,,"23500",0,2,100,2,1,2,1,1,2,2,"3004"
3004,2,,,,"11000",0,2,100,2,1,2,1,2,2,2,"3004"
3004,4,,,,"5550",0,2,100,2,1,2,1,4,2,2,"3004"
3004,8,,,,"4280",0,2,100,2,1,2,1,8,2,2,"3004"
3004,24,,,,"39.4",0,2,100,2,1,2,1,24,2,2,"3004"
3004,648,,,,"35",0,2,100,2,1,2,28,0,2,2,"3004"
3004,648.5,,,,"9080",0,2,100,2,1,2,28,0.5,2,2,"3004"
3004,649,,,,"9840",0,2,100,2,1,2,28,1,2,2,"3004"
3004,650,,,,"3730",0,2,100,2,1,2,28,2,2,2,"3004"
3004,652,,,,"1040",0,2,100,2,1,2,28,4,2,2,"3004"
3004,656,,,,"2630",0,2,100,2,1,2,28,8,2,2,"3004"
3004,672,,,,".",1,2,100,2,1,2,28,24,2,2,"3004"
3005,0,100,27,24,".",1,1,100,2,1,2,1,0,2,2,"3005"
3005,0,,,,"0",0,2,100,2,1,2,1,0,2,2,"3005"
3005,0.5,,,,"11800",0,2,100,2,1,2,1,0.5,2,2,"3005"
3005,1,,,,"16400",0,2,100,2,1,2,1,1,2,2,"3005"
3005,2,,,,"15800",0,2,100,2,1,2,1,2,2,2,"3005"
3005,4,,,,"24300",0,2,100,2,1,2,1,4,2,2,"3005"
3005,8,,,,"7500",0,2,100,2,1,2,1,8,2,2,"3005"
3005,24,,,,"464",0,2,100,2,1,2,1,24,2,2,"3005"
3005,648,,,,"40",0,2,100,2,1,2,28,0,2,2,"3005"
3005,648.5,,,,"12200",0,2,100,2,1,2,28,0.5,2,2,"3005"
3005,649,,,,"21000",0,2,100,2,1,2,28,1,2,2,"3005"
3005,650,,,,"15200",0,2,100,2,1,2,28,2,2,2,"3005"
3005,652,,,,"43900",0,2,100,2,1,2,28,4,2,2,"3005"
3005,656,,,,"35200",0,2,100,2,1,2,28,8,2,2,"3005"
3005,672,,,,"1540",0,2,100,2,1,2,28,24,2,2,"3005"
3501,0,100,27,24,".",1,1,100,2,0,2,1,0,2,2,"3501"
3501,0,,,,"0",0,2,100,2,0,2,1,0,2,2,"3501"
3501,0.5,,,,"8960",0,2,100,2,0,2,1,0.5,2,2,"3501"
3501,1,,,,"7480",0,2,100,2,0,2,1,1,2,2,"3501"
3501,2,,,,"2760",0,2,100,2,0,2,1,2,2,2,"3501"
3501,4,,,,"1200",0,2,100,2,0,2,1,4,2,2,"3501"
3501,8,,,,"1420",0,2,100,2,0,2,1,8,2,2,"3501"
3501,24,,,,"69.6",0,2,100,2,0,2,1,24,2,2,"3501"
3501,648,,,,"11.9",0,2,100,2,0,2,28,0,2,2,"3501"
3501,648.5,,,,"10600",0,2,100,2,0,2,28,0.5,2,2,"3501"
3501,649,,,,"8090",0,2,100,2,0,2,28,1,2,2,"3501"
3501,650,,,,"9300",0,2,100,2,0,2,28,2,2,2,"3501"
3501,652,,,,"5160",0,2,100,2,0,2,28,4,2,2,"3501"
3501,656,,,,"900",0,2,100,2,0,2,28,8,2,2,"3501"
3501,672,,,,"60.5",0,2,100,2,0,2,28,24,2,2,"3501"
3502,0,100,27,24,".",1,1,100,2,0,2,1,0,2,2,"3502"
3502,0,,,,"0",0,2,100,2,0,2,1,0,2,2,"3502"
3502,0.5,,,,"11000",0,2,100,2,0,2,1,0.5,2,2,"3502"
3502,1,,,,"9920",0,2,100,2,0,2,1,1,2,2,"3502"
3502,2,,,,"2520",0,2,100,2,0,2,1,2,2,2,"3502"
3502,4,,,,"1070",0,2,100,2,0,2,1,4,2,2,"3502"
3502,8,,,,"491",0,2,100,2,0,2,1,8,2,2,"3502"
3502,24,,,,"10.6",0,2,100,2,0,2,1,24,2,2,"3502"
3502,648,,,,"25.9",0,2,100,2,0,2,28,0,2,2,"3502"
3502,648.5,,,,"5820",0,2,100,2,0,2,28,0.5,2,2,"3502"
3502,649,,,,"4560",0,2,100,2,0,2,28,1,2,2,"3502"
3502,650,,,,"4050",0,2,100,2,0,2,28,2,2,2,"3502"
3502,652,,,,"1140",0,2,100,2,0,2,28,4,2,2,"3502"
3502,656,,,,"679",0,2,100,2,0,2,28,8,2,2,"3502"
3502,672,,,,"22.3",0,2,100,2,0,2,28,24,2,2,"3502"
3503,0,100,27,24,".",1,1,100,2,0,2,1,0,2,2,"3503"
3503,0,,,,"0",0,2,100,2,0,2,1,0,2,2,"3503"
